scope,area,status,slice_or_release,platform,native_path,native_symbol,rust_crate,rust_path,entity_type,entity_name,description_zh_tw,migration_notes
function,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,phonetics,engine/phonetics/src/poj.rs,function,to_poj,"「給定 (initial, final, tone) 組裝 POJ 顯示字串（套用 POJ 聲調記號排版規則）。」",
function,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,phonetics,engine/phonetics/src/tl.rs,function,to_tl,"「給定 (initial, final, tone) 組裝 TL 顯示字串（套用 TL 聲調記號排版規則）。」",
function,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,phonetics,engine/phonetics/src/tps.rs,function,from_zhuyin,「TPS（注音）字串 → TL 數字聲調字串。re-export 為 tps_to_tl。」,FFI 表面 2026-05-04 retired；Rust 內部使用保留。
function,phonetics,rust_shipped,case-transform-2026-05-04,rust_only,,,phonetics,engine/phonetics/src/case_transform.rs,function,uppercase_tone_char,「依模式查 POJ/TL 聲調對照表將單字元（含 combining mark）轉大寫；多字元僅將首字大寫。」,
function,phonetics,rust_shipped,case-transform-2026-05-04,rust_only,,,phonetics,engine/phonetics/src/case_transform.rs,function,full_uppercase_tone_string,「整字串全部依模式聲調表轉大寫，CapsLock 路徑使用。」,
function,phonetics,rust_shipped,case-transform-2026-05-04,rust_only,,,phonetics,engine/phonetics/src/case_transform.rs,function,lowercase_tone_char,「依模式查聲調對照表將單字元轉小寫；含 ᴺ→ⁿ 鼻音記號 shortcut。」,
function,phonetics,rust_shipped,case-transform-2026-05-04,rust_only,,,phonetics,engine/phonetics/src/case_transform.rs,function,transform_input_case,「依 LetterCase（Lowercased/Uppercased/CapsLocked）對輸入字串套用大小寫；對應 iOS CaseTransformer.transformForInput 與 Android KeyLabelCaseCache 路徑。」,
function,phonetics,rust_shipped,case-transform-2026-05-04,rust_only,,,phonetics,engine/phonetics/src/case_transform.rs,function,transform_suggestion,「Suggestion 級的逐 word 大小寫轉換：CapsLock → 全大寫；其他依 composing 已輸入字數切成 typed-portion（matchCase）+ remaining-portion（首字 upper / 全 lower），最後跑 adjust_nasal_marker_case。」,SuggestionCaseTransformer thin wrapper 在 iOS + Android 平台側仍保留以執行平台特定 skip rules（iOS additionalInfo 標記 / Android id 標記）。
function,phonetics,rust_shipped,case-transform-2026-05-04,rust_only,,,phonetics,engine/phonetics/src/case_transform.rs,function,adjust_nasal_marker_case,「將鼻音記號 ⁿ/ᴺ 大小寫對齊到前一個字母的大小寫；數字、標點不重設累積狀態。api::normalize_tone 與 transform_suggestion 後處理皆呼叫。」,
function,phonetics,rust_shipped,case-transform-2026-05-04,rust_only,,,phonetics,engine/phonetics/src/case_transform.rs,enum,LetterCase,"「三態大小寫指示：Lowercased / Uppercased / CapsLocked。對應 iOS LetterCase enum 與 Android (caps, capsLock) 對的橋接層。」",
enum,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,phonetics,engine/phonetics/src/api.rs,enum,InputMode,「Tl / Poj / English；engine 內部使用的拼音模式。Tps 在 lexicon 端另以 SearchInputMode 處理。」,
enum,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,phonetics,engine/phonetics/src/api.rs,enum,System,「拼音系統列舉 Tl / Poj / Tps，給 display 互轉用。」,
enum,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,phonetics,engine/phonetics/src/api.rs,enum,PhoneticsError,「Phonetics 子系統錯誤；目前只有 UnsupportedOp（method 為 None）。dispatch 邊界轉換為 ErrorCode::FailInvariant。」,
function,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,phonetics,engine/phonetics/src/dispatch.rs,function,handle,「PhoneticsRequest method 派發器：把 StripTone/PojToTl/... 等 14 個 op 各自呼叫到 api/normalization/tps_adjust；op 皆為純函式，不讀 AppConfig。」,
module,composing,rust_shipped,v3.5.4-Composing-D9.3,rust_only,,,composing,engine/composing/src/lib.rs,crate,composing,「跨平台 Composing slice：Intent → Effect 狀態機；Phase = Idle / Composing / Continuous。Engine 由 Mutex 保護放在 FFI 層的 OnceCell。」,iOS ComposingState.swift / ComposingTransition.swift 已隨 PR #197 刪除；ComposingManager / ComposingDelegate 為平台 wrapper 仍在。
struct,composing,rust_shipped,v3.5.4-Composing-D9.3,rust_only,,,composing,engine/composing/src/api.rs,struct,Engine,「Composing 狀態機本體。snapshot 為純讀；apply 套用 Intent 並回傳 ComposingResponse（preedit + 有序 effects + 新 index + is_composing）。」,
struct,composing,rust_shipped,v3.5.4-Composing-D9.3,rust_only,,,composing,engine/composing/src/api.rs,struct,EngineState,「phase 的純值；平台不再 shadow（selected_candidate_index 已於 2026-09-25 移除）。」,
enum,composing,rust_shipped,v3.5.4-Composing-D9.3,rust_only,,,composing,engine/composing/src/api.rs,enum,Phase,「Idle 或 Composing { raw }；raw 為 numeric-tone ASCII 預編輯字串。」,
enum,composing,rust_shipped,v3.5.4-Composing-D9.3,rust_only,,,composing,engine/composing/src/api.rs,enum,Intent,"「輸入意圖：10 種文字輸入（Start/Append/AppendHyphen/ReplaceLast/DeleteBackward/CommitDerived/CommitRaw/SelectSuggestion/CommitPreeditThenInsertExternal/Reset，1:1 對應 iOS/Android 既有 ComposingState.Intent）+ 4 種連續輸入（EnterContinuous/FetchAtPos/CommitContinuous/ResetContinuous）+ 2 種桌面編輯鍵（TelexKey/MoveCaret）。SetSelectedCandidateIndex/QueryState 無 production caller，2026-09-25 移除。」",
struct,composing,rust_shipped,v3.5.4-Composing-D9.3,rust_only,,,composing,engine/composing/src/handle.rs,struct,EngineHandle,「FFI 邊界 singleton：OnceCell<Mutex<Engine>>，封裝 generation 一致性檢查 + drop 重置策略。」,
enum,composing,rust_shipped,v3.5.4-Composing-D9.3,rust_only,,,composing,engine/composing/src/api.rs,enum,ComposingError,「目前只有 MissingMethod；dispatch 邊界轉為 ErrorCode::FailInvariant。」,
module,nextword,rust_shipped,v3.5.5-NextWord,rust_only,,,nextword,engine/nextword/src/lib.rs,crate,nextword,「跨平台 NextWord 預測引擎：管理 last_selected_word/roman + last_selection_time_ms + is_showing + current_generation。decide/filter/scorer 子模組為純邏輯（booster 無 production caller，2026-09-25 移除）。」,iOS EnginePrediction/NextWordEngine/NextWordOutcome/NextWordScorer/AutocompleteContextBooster/RawNextWordPrediction.swift 已隨 PR #198 刪除。
struct,nextword,rust_shipped,v3.5.5-NextWord,rust_only,,,nextword,engine/nextword/src/api.rs,struct,Engine,「NextWord 狀態機；apply 套 Intent 回 DecideResult；filter 對 raw 預測做 score+merge+sort+limit 並做 generation-mismatch 偵測。」,
struct,nextword,rust_shipped,v3.5.5-NextWord,rust_only,,,nextword,engine/nextword/src/api.rs,struct,PersistedState,"「last_selected_word/roman、last_selection_time_ms、is_showing、current_generation。current_generation 用 wrapping_add，u64::MAX+1=0 不視為 reset。」",
enum,nextword,rust_shipped,v3.5.5-NextWord,rust_only,,,nextword,engine/nextword/src/api.rs,enum,Intent,"「7 種意圖：WordSelected/Backspace/ContextTimeoutFired/ClearForNewComposing/ResetFull/UpdateLastSelectedWord（Android Space-path 限定）/SetIsShowing。」",
struct,nextword,rust_shipped,v3.5.5-NextWord,rust_only,,,nextword,engine/nextword/src/handle.rs,struct,EngineHandle,「FFI 邊界 singleton；保有 envelope-mismatch（IME-session ID 變動）的 reset 策略：歸零但 current_generation +1。」,
enum,nextword,rust_shipped,v3.5.5-NextWord,rust_only,,,nextword,engine/nextword/src/api.rs,enum,NextWordError,「MissingMethod / MissingDecisionInput / InvalidSource / InvalidPlatform；統一在 dispatch 轉 ErrorCode::FailInvariant。」,
module,ranking,rust_shipped,v3.5.2-ranking,rust_only,,,ranking,engine/ranking/src/lib.rs,crate,ranking,「Lexicon 候選排序：dedup → score → sort，純 CPU、stateless RPC，不做 I/O；對應原 iOS CandidateProcessor 的 score/sort/dedupe 部分。」,score 公式常數釘在 engine/ranking/src/score.rs；iOS/Android JVM unit-tests 仍保留鏡像（已隨 v3.5.3 follow-up #192 刪除 Rust 鏡像，僅保留平台側必要部分）。
module,lexicon,rust_shipped,v3.5.6-lexicon-read-path,rust_only,,,lexicon,engine/lexicon/src/lib.rs,crate,lexicon,「Lexicon 讀路徑：fst prefix index + 兩個 mmap 二進位 reader（dictionary.bin + association.bin）+ search 編排。供 IME autocomplete、Tab3 字典查詢、NextWord bigram lookup。整 crate forbid unsafe_code，mmap 例外集中在 mmap-host crate。」,iOS Lexicon/Trie/InputNormalizer.swift + TrieService.swift + marisa_bridge.cpp/.h 已隨 PR #199 全數刪除。
function,lexicon,rust_shipped,v3.5.6-lexicon-read-path,rust_only,,,lexicon,engine/lexicon/src/api.rs,function,install,「初始化 EngineHandle：驗證 trie/dictionary/association 路徑，建立 PrefixIndex + DictionaryReader + AssociationReader，回傳 dictionary_record_count + prefix_index_entry_count。」,
function,lexicon,rust_shipped,v3.5.6-lexicon-read-path,rust_only,,,lexicon,engine/lexicon/src/api.rs,function,search,「依 SearchRequest（input + input_type + input_mode + limit + tps_or_mapped_to_er + enabled_sources_bitmask）查詢字典，回傳 TaigiWord 清單。」,
function,lexicon,rust_shipped,v3.5.6-lexicon-read-path,rust_only,,,lexicon,engine/lexicon/src/api.rs,function,search_with_sources,「附帶 source_bitmask 的 search 變體；總是以 RomanWithTone 解析 input_type（即聲調式查詢）。」,
function,lexicon,rust_shipped,v3.5.6-lexicon-read-path,rust_only,,,lexicon,engine/lexicon/src/api.rs,function,search_by_hanzi,「以漢字字面查詢，回傳對應的 TaigiWord 清單；用於 Tab3 字典查詢的漢字短路徑。」,
function,lexicon,rust_shipped,v3.5.6-lexicon-read-path,rust_only,,,lexicon,engine/lexicon/src/api.rs,function,assoc_lookup,「給定上一個詞，查 association.bin 中的 bigram 後續候選；NextWord 引擎用來生 raw 預測。」,
function,lexicon,rust_shipped,v3.5.7-classification,rust_only,,,lexicon,engine/lexicon/src/api.rs,function,is_hanzi,「Tab3 搜尋 short-circuit：判斷字串是否含 CJK Unified（含 Ext A–E）。修正 Android Char.code 16-bit 漏判 Ext B/C/D/E 的舊 bug。」,Ext F/G/H/I/J 故意排除以維持 v3.5.7 修正範圍。
function,lexicon,rust_shipped,v3.5.6-lexicon-read-path,rust_only,,,lexicon,engine/lexicon/src/key_normalizer.rs,function,build,「組 trie 查詢 key：依 input_type 決定 prefix 家族（tl: / poj: / hanzi:）；羅馬路徑經 phonetics::normalize_input。」,
struct,lexicon,rust_shipped,v3.5.6-lexicon-read-path,rust_only,,,lexicon,engine/lexicon/src/handle.rs,struct,EngineHandle,「Lexicon 全域 singleton；with_state 借 prefix_index/dictionary/association reader 給 search/assoc_lookup 使用。」,
struct,lexicon,rust_shipped,v3.5.6-lexicon-read-path,rust_only,,,lexicon,engine/lexicon/src/dictionary_reader.rs,struct,DictionaryReader,「mmap dictionary.bin 的 reader；解析 DictionaryRecord（含 source_bitmask、length_score）。」,
struct,lexicon,rust_shipped,v3.5.6-lexicon-read-path,rust_only,,,lexicon,engine/lexicon/src/association_reader.rs,struct,AssociationReader,「mmap association.bin 的 reader；提供以前綴詞做 lookup 的 bigram entry 集合。」,
struct,lexicon,rust_shipped,v3.5.6-lexicon-read-path,rust_only,,,lexicon,engine/lexicon/src/prefix_index.rs,struct,PrefixIndex,「fst-based prefix index（Burntsushi fst crate）；replace 之前的 marisa-trie。」,
const,lexicon,rust_shipped,v3.5.6-lexicon-read-path,rust_only,,,lexicon,engine/lexicon/src/association_reader.rs,const,KHIIN_BIT/VARIANT_BIT,"「source_bitmask 高位旗標（位 9/12;位 10 dev 由 enabled_mask 過濾,常數已於 2026-09-05 移除），跨平台必須與 dictionary.bin 編碼對齊。」",
enum,lexicon,rust_shipped,v3.5.6-lexicon-read-path,rust_only,,,lexicon,engine/lexicon/src/error.rs,enum,LexiconError,「FailParse / FailInternal / FailIo / FailInvariant 對應的 lexicon 錯誤類型。as_proto_error_code 提供唯一的數字代碼來源。」,
struct,lexicon,rust_shipped,v3.5.6-lexicon-read-path,rust_only,,,lexicon,engine/lexicon/src/paths.rs,struct,LexiconPaths,「驗證 trie/dictionary/association 三檔路徑與 dictionary_version 的型別包裝；install 進入點。」,
module,infra,rust_shipped,v3.5.4-Composing-D9.3,rust_only,,,dispatch,engine/dispatch/src/lib.rs,crate,dispatch,「FFI 頂層派發：bytes-in / bytes-out 單一進入 process_request；以 catch_unwind 包覆解碼→派發→編碼，panic 統一回 FailInternal。MAX_REQUEST_BYTES=2MB。」,
function,infra,rust_shipped,v3.5.4-Composing-D9.3,rust_only,,,dispatch,engine/dispatch/src/lib.rs,function,process_request,「FFI 唯一 entrypoint：解 Request proto → 依 payload oneof 派發到 phonetics/composing/lexicon/nextword/case_transform → 編碼 Response 回傳。永不跨 FFI 傳 panic。」,
const,infra,rust_shipped,v3.5.4-Composing-D9.3,rust_only,,,dispatch,engine/dispatch/src/lib.rs,const,MAX_REQUEST_BYTES,「2 MiB 上限；swift-ffi 與 android-jni 在 copy 前先檢查長度，超出回 FailInvariant 不分配。」,
module,infra,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,swift-ffi,engine/swift-ffi/src/lib.rs,crate,swift-ffi,「iOS / macOS swift-bridge 入口：薄包覆 dispatch::process_request + Swift 端 logger sink 註冊。catch_unwind ×2（FFI + dispatch）；長度上限早 reject。」,
function,infra,rust_shipped,v3.5.1-D9.4-Phonetics,ios,ios/Sources/TaigiKeyboard/Engine/Generated/,SwiftBridgeCore,swift-ffi,engine/swift-ffi/src/lib.rs,function,process_request_bytes,「Swift 端可呼叫的單一 FFI 函式：bytes-in / bytes-out。」,
function,infra,rust_shipped,v3.5.1-D9.4-Phonetics,ios,,,swift-ffi,engine/swift-ffi/src/lib.rs,function,install_logger_sink,「冪等註冊 SwiftLoggerSink；DEBUG 時 set_log_level(4) 解放 Rust log 至 Debug。」,
function,infra,rust_shipped,v3.5.1-D9.4-Phonetics,ios,,,swift-ffi,engine/swift-ffi/src/lib.rs,function,set_log_level,「執行期切換 Rust log::max_level；0=Off … 5=Trace。」,
function,infra,rust_shipped,v3.5.1-D9.4-Phonetics,ios,,,swift-ffi,engine/swift-ffi/src/lib.rs,function,panic_for_test,「T1 panic injector：dev xcframework（feature=panic-injector）會真的 panic；release xcframework no-op 回 FailInvariant。」,
module,infra,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,android-jni,engine/android-jni/src/lib.rs,crate,android-jni,「Android JNI 入口：薄包覆 dispatch::process_request + JVM logger callback。每個 extern fn 體都 catch_unwind；length-check 早於 jbyteArray 拷貝。」,
function,infra,rust_shipped,v3.5.1-D9.4-Phonetics,android,android/.../engine/RustEngineBridge.kt,processRequestBytes,android-jni,engine/android-jni/src/lib.rs,function,Java_..._processRequestBytes,「JNI export：對應 RustEngineBridge.processRequestBytes(ByteArray): ByteArray。」,
function,infra,rust_shipped,v3.5.1-D9.4-Phonetics,android,android/.../engine/RustEngineBridge.kt,registerLogger,android-jni,engine/android-jni/src/lib.rs,function,Java_..._registerLogger,「快取 JavaVM + GlobalRef + dispatchLog method id；安裝 Rust log adapter，預設 Warn。」,
function,infra,rust_shipped,v3.5.1-D9.4-Phonetics,android,android/.../engine/RustEngineBridge.kt,setLogLevel,android-jni,engine/android-jni/src/lib.rs,function,Java_..._setLogLevel,「執行期切換 Rust log::max_level；BuildConfig.DEBUG=true 時 Kotlin 端呼 setLogLevel(4)。」,
function,infra,rust_shipped,v3.5.1-D9.4-Phonetics,android,,,android-jni,engine/android-jni/src/lib.rs,function,Java_..._panicForTest,「T1 panic injector（feature=panic-injector，僅 dev .so）；release build 由 build-android-libs.sh 用 nm 驗證符號不存在。」,
module,infra,rust_shipped,v3.5.6-lexicon-read-path,rust_only,,,mmap-host,engine/mmap-host/src/lib.rs,crate,mmap-host,「集中 mmap unsafe 載入碼的 host crate；其他 crate 全部 forbid unsafe_code。」,
struct,infra,rust_shipped,v3.5.6-lexicon-read-path,rust_only,,,mmap-host,engine/mmap-host/src/lib.rs,struct,MmapHandle,「memmap2 開檔 + 安全包覆 &[u8] slice 給 lexicon 讀路徑用。」,
enum,infra,rust_shipped,v3.5.6-lexicon-read-path,rust_only,,,mmap-host,engine/mmap-host/src/lib.rs,enum,MmapError,「mmap 開檔/版本驗證錯誤。」,
module,infra,rust_shipped,v3.5.4-Composing-D9.3,rust_only,,,protos,engine/protos/src/lib.rs,crate,protos,「prost-build 產出的 engine 訊息結構共用 crate。proto 來源於 engine/protos/proto/*.proto。」,平台 .pb.swift / .java 為 checked-in（engine/scripts/gen-platform-protos.sh + engine/protos/build.rs 維護）。
file,infra,rust_shipped,v3.5.6-lexicon-read-path,rust_only,,,build-helpers/fst-builder,engine/build-helpers/fst-builder/src/main.rs,binary,fst-builder,「離線工具：把 dictionary 來源編成 fst prefix index 與 dictionary.bin / association.bin。」,
module,userdata,rust_shipped,user-data-engine-P1..P9c,rust_only,,,userdata,engine/userdata/src/lib.rs,crate,userdata,"「Engine-owned user data: user_frequency.db, user_association.db, custom_dictionary.db, learned_phrases.db — schemas, shape-detecting takeover of every released platform shape (<file>.pre-engine copy), custom-dictionary search-key derivation, capacity policy, CSV codec, .taigi backup codec.」","Replaces the iOS / Android / macOS SQLite stores and desktop taigi-desktop-storage stores (all platforms switched, P5–P8b). Stores behind the default sqlite feature (roadmap U11). Plan: docs/architecture/user-data-engine-roadmap.md."
file,infra,rust_shipped,user-data-engine-P3a..P9c,rust_only,,,dispatch,engine/dispatch/src/user_data.rs,file,user_data.rs,"「UserDataRequest ops (Open, Reset, RecordUsage, List / Save / Delete / Import / ExportCustomCsv, SearchCustomEntries, Export / ImportBackup); FetchAtPos reads custom / learned / frequency rows (composing::UserRows); PredictNext reads user_association.db; learned phrases and next-word bigrams persisted by the engine.」","Platforms call it through UserDataClient (pages), UsageRecorder (picks) and NextWordPort (desktop + macOS handshakes). Retired wire reserved in P9c: FetchAtPos 2/4/7, PredictNext.user_rows, Effect.PhraseLearned, NextWordEffect RecordAssociation / RecordCompoundAssociations."
file,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,ios,ios/Sources/TaigiKeyboard/Engine/RustEngineBridge.swift,RustEngineBridge,swift-ffi,engine/swift-ffi/src/lib.rs,bridge,RustEngineBridge.swift,「iOS 17 個 phonetics op + 12 個 composing op 的 Swift 包覆；本身為 Path G「保留」的橋接層，內部所有 op 已全在 Rust。包含 ToneVariations 快取、診斷 ring buffer、generation 管理。」,屬於 cross-platform 必要橋接，非候選遷移目標。
file,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,android,android/app/src/main/java/com/siansiansu/taigikeyboard/engine/RustEngineBridge.kt,RustEngineBridge,android-jni,engine/android-jni/src/lib.rs,bridge,RustEngineBridge.kt,「Android JNI 對應 RustEngineBridge.swift 的 Kotlin 等價物。」,屬於 cross-platform 必要橋接。
file,lexicon,rust_shipped,v3.5.6-lexicon-read-path,ios,ios/Sources/TaigiKeyboard/Engine/RustEngineBridge+Lexicon.swift,RustEngineBridge.lexicon*,lexicon,engine/lexicon/src/api.rs,bridge,RustEngineBridge+Lexicon.swift,「Lexicon op 的 Swift 包覆：install / search / searchWithSources / searchByHanzi / isHanzi / dictionaryFilters。」,屬於 cross-platform 必要橋接。
file,lexicon,rust_shipped,v3.5.6-lexicon-read-path,android,android/.../engine/LexiconBridge.kt,LexiconBridge,lexicon,engine/lexicon/src/api.rs,bridge,LexiconBridge.kt,「Lexicon op 的 Kotlin 包覆。」,屬於 cross-platform 必要橋接。
file,nextword,rust_shipped,v3.5.5-NextWord,ios,ios/Sources/TaigiKeyboard/Engine/RustEngineBridge+NextWord.swift,RustEngineBridge.nextWord*,nextword,engine/nextword/src/api.rs,bridge,RustEngineBridge+NextWord.swift,「NextWord 7 個 Intent + 視窗 setIsShowing 的 Swift 包覆。」,屬於 cross-platform 必要橋接。
file,phonetics,rust_shipped,case-transform-2026-05-04,ios,ios/Sources/TaigiKeyboard/Engine/RustEngineBridge+CaseTransform.swift,RustEngineBridge.case*,phonetics,engine/phonetics/src/case_transform.rs,bridge,RustEngineBridge+CaseTransform.swift,「Case-transform 5 個 op 的 Swift 包覆：transformInputCase / transformSuggestionCase / uppercaseToneChar / fullUppercaseToneString / lowercaseToneChar。」,屬於 cross-platform 必要橋接。
file,phonetics,rust_shipped,case-transform-2026-05-04,android,android/.../engine/CaseTransformBridge.kt,CaseTransformBridge,phonetics,engine/phonetics/src/case_transform.rs,bridge,CaseTransformBridge.kt,「Case-transform 對應 Kotlin 包覆。」,屬於 cross-platform 必要橋接。
file,phonetics,rust_partial,case-transform-2026-05-04,ios,ios/Sources/TaigiKeyboard/Input/CharacterInputPipeline.swift,CharacterInputPipeline,phonetics,engine/phonetics/src/api.rs,file,CharacterInputPipeline.swift,「鍵入 → 規範化音節 pipeline 的薄殼：所有 normalize/case 都已委派 Rust，本檔僅留協調用 51 LOC。」,候選但仍在 — 多為 Foundation-only 的協調碼，可考慮在後續 polish 階段一併刪除或轉成單一 Rust call。
file,lexicon,rust_shipped,v3.5.8-Item13,ios,(deleted),(deleted),ranking,(deleted),file,CandidateProcessor.swift,「歷史 267 LOC 的候選處理器（已刪）；score/sort/dedupe 移入 ranking crate 後隨 ProcessCandidates 一併刪除（2026-09-25）；capitalize/classify 曾移入 Rust，後因無 production caller 亦於 2026-09-25 移除。」,v3.5.8 Item 13：唯一 consumer（iOS LexiconService）退役後零 consumer → 整檔刪 (Path G)；Android 對應已隨 PR #192 刪除。
file,lexicon,rust_shipped,v3.5.1-D9.4-Phonetics,cross_platform,(deleted),(deleted),phonetics,engine/phonetics/src/custom_search.rs,file,CustomDictionaryDerivation.swift/.kt,「Custom-dictionary search-key derivation (notone / abbrev / roman_num) on write; the algorithm is phonetics::derivation behind phonetics::api::derive_custom_search_keys.」,"Platform thin bridges deleted in the user-data engine switch (iOS P7b #233, Android P8b #231). engine/userdata derives the keys itself on save / import and re-derives on open (engine/userdata/src/user_data_stores.rs derive_custom_search_keys + derive_custom_query_key; CustomDictionaryStore::rederive_search_keys_if_needed); the query-side prefix strategy is the engine's SearchCustomEntries op."
file,autocomplete,rust_shipped,v3.5.8-Item13,ios,(deleted),(deleted),lexicon,engine/lexicon/src/classification.rs,file,AutocompleteInputClassifier.swift,「iOS 端 RustEngineBridge.classifyInput 的薄殼包覆 + 平台特定快取/觀察邏輯。」,核心 classify 已在 Rust（v3.5.7）。v3.5.8 Item 13：平台 lexicon fallback 退役，此殼層唯一 consumer 消失 → 整檔刪 (Path G)；engine ClassifyInput RPC 無 caller，已於 2026-09-25 移除。
